# k, delta_cdm, delta_b, delta_g, delta_nu, delta_num, delta_tot, delta_nonu, delta_tot_nodm, phi, v_cdm, v_b, v_b_cdm
3.78394359e-03 5.56886039e+02 5.56724454e+02 -4.43555849e-01 -4.51755456e-01 0.00000000e+00 5.56694591e+02 5.57146346e+02 5.56694591e+02 1.30548403e-05 2.52604760e+02 2.52531465e+02 7.32953588e-02
3.86810130e-03 5.54959020e+02 5.54793120e+02 -4.23154065e-01 -4.30973912e-01 0.00000000e+00 5.54767469e+02 5.55198443e+02 5.54767469e+02 1.30096467e-05 2.51730660e+02 2.51655408e+02 7.52525079e-02
3.95237408e-03 5.53045464e+02 5.52875141e+02 -4.03894810e-01 -4.11358887e-01 0.00000000e+00 5.52853789e+02 5.53265148e+02 5.52853789e+02 1.29647684e-05 2.50862667e+02 2.50785408e+02 7.72588011e-02
4.03675547e-03 5.51132289e+02 5.50957435e+02 -3.85844164e-01 -3.92974686e-01 0.00000000e+00 5.50940473e+02 5.51333448e+02 5.50940473e+02 1.29198987e-05 2.49994846e+02 2.49915532e+02 7.93143810e-02
4.12123950e-03 5.49220166e+02 5.49040675e+02 -3.68903223e-01 -3.75720651e-01 0.00000000e+00 5.49028191e+02 5.49403912e+02 5.49028191e+02 1.28750533e-05 2.49127503e+02 2.49046085e+02 8.14176676e-02
4.20582064e-03 5.47310643e+02 5.47126416e+02 -3.52973259e-01 -3.59496451e-01 0.00000000e+00 5.47118492e+02 5.47477989e+02 5.47118492e+02 1.28302686e-05 2.48261339e+02 2.48177773e+02 8.35655873e-02
4.29049380e-03 5.45405574e+02 5.45216522e+02 -3.37960939e-01 -3.44207298e-01 0.00000000e+00 5.45213232e+02 5.45557440e+02 5.45213232e+02 1.27855881e-05 2.47397195e+02 2.47311441e+02 8.57543862e-02
4.37525423e-03 5.43504775e+02 5.43310816e+02 -3.23803462e-01 -3.29789089e-01 0.00000000e+00 5.43312228e+02 5.43642017e+02 5.43312228e+02 1.27410074e-05 2.46534989e+02 2.46447009e+02 8.79802266e-02
4.46009754e-03 5.41598940e+02 5.41400001e+02 -3.10528067e-01 -3.16267965e-01 0.00000000e+00 5.41406177e+02 5.41722445e+02 5.41406177e+02 1.26963085e-05 2.45670498e+02 2.45580259e+02 9.02391936e-02
4.54501966e-03 5.39696644e+02 5.39492656e+02 -2.97992009e-01 -3.03500011e-01 0.00000000e+00 5.39503653e+02 5.39807153e+02 5.39503653e+02 1.26516923e-05 2.44807612e+02 2.44715083e+02 9.25295149e-02
4.63001679e-03 5.37799020e+02 5.37589917e+02 -2.86135532e-01 -2.91424477e-01 0.00000000e+00 5.37605788e+02 5.37897212e+02 5.37605788e+02 1.26071854e-05 2.43946845e+02 2.43851996e+02 9.48493387e-02
4.71508543e-03 5.35904333e+02 5.35690050e+02 -2.74926995e-01 -2.80008831e-01 0.00000000e+00 5.35710849e+02 5.35990858e+02 5.35710849e+02 1.25627472e-05 2.43087411e+02 2.42990212e+02 9.71990114e-02
